1,Isak,Pate,mochiato,almond,medium,fyshwick,12:15:52,2021-11-07,queue
2,Melessa,Cressingham,flatWhite,oat,small,fyshwick,09:06:35,2022-02-13,making
3,Elsinore,Lebell,cappucciono,lactoseFree,small,fyshwick,20:11:34,2022-04-28,making
4,Rhianon,Serle,longBlack,fullCream,medium,fyshwick,18:28:48,2022-08-27,delivered
5,Celka,Cappineer,cappucciono,fullCream,medium,fyshwick,12:59:26,2022-10-03,queue
6,Dinah,Flahy,cappucciono,almond,medium,fyshwick,05:31:54,2022-04-26,queue
7,Tana,Lapere,longBlack,lactoseFree,medium,fyshwick,10:05:58,2022-09-08,queue
8,Ediva,Levey,flatWhite,fullCream,large,fyshwick,19:11:24,2022-08-11,delivered
9,Bonnee,Silversmid,mochiato,oat,large,fyshwick,20:48:19,2022-05-22,making
10,Thorsten,Cutsforth,cappucciono,fullCream,medium,fyshwick,00:53:14,2022-10-03,delivered
11,Ivie,Sagrott,cappucciono,oat,medium,fyshwick,17:04:52,2022-01-21,queue
12,Kati,Lober,longBlack,lactoseFree,large,fyshwick,05:24:42,2022-04-20,queue
13,Merrill,Heelis,longBlack,fullCream,small,fyshwick,14:15:01,2022-09-02,making
14,Dotty,Doogan,flatWhite,lactoseFree,large,fyshwick,14:55:28,2022-06-25,queue
15,Fidelio,Puttrell,flatWhite,lactoseFree,large,fyshwick,19:07:01,2022-04-29,queue
16,Chrysa,Lanning,cappucciono,almond,large,fyshwick,15:24:30,2022-03-31,queue
17,Corry,Wynn,mochiato,oat,small,fyshwick,11:36:03,2022-04-07,delivered
18,Ddene,Ovendon,longBlack,fullCream,large,fyshwick,11:40:05,2021-11-14,making
19,Augustine,Gable,longBlack,almond,large,fyshwick,20:37:34,2022-01-29,making
20,Lanie,Valti,longBlack,almond,large,fyshwick,15:51:04,2022-07-04,delivered
21,Nadya,Waything,flatWhite,fullCream,large,fyshwick,18:59:17,2022-06-23,delivered
22,Tull,Teggin,longBlack,fullCream,small,fyshwick,04:58:16,2022-01-17,making
23,Barn,Bertelsen,longBlack,almond,small,fyshwick,17:29:49,2021-11-11,making
24,Luise,Godsell,longBlack,oat,large,fyshwick,00:46:50,2022-07-23,delivered
25,Sylvan,Jockle,longBlack,oat,large,fyshwick,04:03:57,2022-07-22,making
26,Fred,Diben,flatWhite,almond,medium,fyshwick,11:18:01,2022-09-26,delivered
27,Jere,McLeman,flatWhite,fullCream,medium,fyshwick,19:42:01,2021-12-06,making
28,Sly,Wyllt,flatWhite,lactoseFree,small,fyshwick,15:43:25,2021-11-17,queue
29,Ellis,Crain,flatWhite,oat,medium,fyshwick,12:14:28,2022-05-28,queue
30,Brigit,Morphet,mochiato,fullCream,medium,fyshwick,01:32:39,2022-10-04,queue
31,Andres,Levin,cappucciono,lactoseFree,medium,fyshwick,00:44:45,2022-09-17,making
32,Kristofer,Carcass,cappucciono,oat,medium,fyshwick,23:25:00,2022-03-08,delivered
33,Henrie,Signoret,cappucciono,lactoseFree,large,fyshwick,01:58:26,2022-08-09,delivered
34,Ailee,Yarn,flatWhite,almond,small,fyshwick,10:03:50,2022-02-03,queue
35,Gamaliel,Henrichs,mochiato,lactoseFree,large,fyshwick,07:57:41,2022-02-28,making
36,Devi,Ducroe,flatWhite,lactoseFree,large,fyshwick,09:21:20,2022-06-16,making
37,Shaylah,Coskerry,cappucciono,oat,medium,fyshwick,06:39:30,2022-06-03,making
38,Fania,Legendre,mochiato,lactoseFree,small,fyshwick,14:19:07,2022-05-29,delivered
39,Ariella,Pencot,longBlack,almond,large,fyshwick,22:11:26,2022-03-08,queue
40,Cloe,Lovel,mochiato,lactoseFree,small,fyshwick,22:52:24,2022-03-20,making
41,Caroline,Grouer,cappucciono,oat,medium,fyshwick,21:29:46,2022-02-23,delivered
42,Gabriela,Eyeington,longBlack,lactoseFree,medium,fyshwick,07:51:50,2021-10-22,making
43,Howey,Ambrosch,cappucciono,oat,small,fyshwick,09:36:33,2022-09-04,delivered
44,Tobye,Le Quesne,flatWhite,lactoseFree,small,fyshwick,23:16:19,2022-09-09,making
45,Tris,Zupone,flatWhite,oat,small,fyshwick,21:50:21,2022-04-09,queue
46,Rebeka,Clougher,cappucciono,lactoseFree,small,fyshwick,15:21:18,2022-05-02,queue
47,Shandie,Dawidowicz,longBlack,almond,medium,fyshwick,06:30:05,2022-06-23,making
48,Sapphire,Emblin,cappucciono,lactoseFree,medium,fyshwick,13:44:36,2022-09-19,making
49,Gannie,Seivwright,flatWhite,oat,small,fyshwick,14:12:26,2022-09-16,delivered
50,Malissia,Mattioli,longBlack,oat,large,fyshwick,12:42:22,2022-05-21,delivered
